stock,sell_p,cash_start,cash_after,position,AO_start,AO_sell,jaw,teeth,lips,ind,date_buy,date_sell
baba,154.06320495605468,"$10,000",9965.226919523036,64.68271851390823,36.32986982008991,35.84951735103833,134.66917554738458,140.96164464037014,146.8830822282208,66,2020-04-30 00:00:00,2020-05-01 00:00:00
baba,155.0164031982422,"$10,000",10308.339976305486,66.49838187203132,33.8548059800092,36.32986982008991,133.17555277758905,139.3329075845127,145.29729165856702,65,2020-04-29 00:00:00,2020-04-30 00:00:00
baba,147.4072021484375,"$10,000",10436.55830458101,70.8008710054174,27.510617424460023,32.27614723654354,119.23195210218266,120.9233576505269,126.02498907263282,57,2020-04-17 00:00:00,2020-04-20 00:00:00
baba,152.56080627441406,"$10,000",10415.100217926745,68.26851845022964,35.84951735103833,32.821600162281726,136.14616461155003,142.49971456920449,148.14534676402195,67,2020-05-01 00:00:00,2020-05-04 00:00:00
baba,160.56640014648437,"$10,000",10422.112157947427,64.90842510288178,23.579259289012242,21.509382606955114,147.50243483595057,153.6346006533255,157.27799510110324,76,2020-05-14 00:00:00,2020-05-15 00:00:00
baba,186.6272003173828,"$10,000",11480.596489386315,61.516201656897444,18.445246976964626,21.35678239710191,167.69780671339234,173.08666962402052,176.24827926480557,93,2020-06-09 00:00:00,2020-06-10 00:00:00
baba,196.24799499511718,"$10,000",11968.851432325664,60.988401092319236,25.900187952378218,26.621776625689336,174.38936774140987,181.30993515032168,186.20248500424714,97,2020-06-15 00:00:00,2020-06-16 00:00:00
baba,197.7531982421875,"$10,000",11333.860592945633,57.313159502306014,22.537434701358563,19.684340533088232,185.31334838858314,191.41947835483413,195.45524093858458,104,2020-06-24 00:00:00,2020-06-25 00:00:00
baba,258.2243957519531,"$10,000",13270.205618392034,51.39020881334239,50.45262451171874,59.95960738238168,210.03364776990742,218.541400078996,224.78132823684615,112,2020-07-07 00:00:00,2020-07-08 00:00:00
baba,310.3539978027344,"$10,000",15694.0064970603,50.56808228078842,76.21602217730353,76.18149194156425,253.335209773703,274.5694018978961,290.433824555108,121,2020-07-20 00:00:00,2020-07-21 00:00:00
baba,444.810400390625,"$10,000",14959.756225580591,33.63175908756447,92.5509621115292,100.50365196676819,355.9962059897146,381.73201991232867,400.7821847345789,150,2020-08-28 00:00:00,2020-08-31 00:00:00
baba,421.4580017089844,"$10,000",14592.875848817677,34.624745027130885,38.24714606789979,43.21023658303653,391.64546233011345,404.7397038192393,406.24062849541815,162,2020-09-16 00:00:00,2020-09-17 00:00:00
baba,428.3,"$10,000",10305.830356219058,24.062176876532938,6.866291450051733,9.183406784955196,416.52862877446466,423.10443926570775,424.5199764525253,179,2020-10-09 00:00:00,2020-10-12 00:00:00
baba,448.8219970703125,"$10,000",10526.239123499981,23.453037489717644,2.9852653952206083,17.262295352711362,433.5656404171813,430.83737589918826,428.22963876527774,207,2020-11-18 00:00:00,2020-11-19 00:00:00
baba,545.3199951171875,"$10,000",12378.89414256803,22.70023885683459,81.03723440731272,94.49253261790557,461.6071292333817,473.25430242308835,486.61083558294996,212,2020-11-25 00:00:00,2020-11-27 00:00:00
baba,580.0640014648437,"$10,000",13668.95549579461,23.564564360615734,117.27423427806184,119.32531998578247,492.51816638045125,515.1154419314207,537.2818362782139,216,2020-12-02 00:00:00,2020-12-03 00:00:00
baba,626.6359985351562,"$10,000",15284.923433385313,24.39202897553895,126.79450100169458,124.67741420970242,537.9879512940894,568.759867482011,593.4222414733787,222,2020-12-10 00:00:00,2020-12-11 00:00:00
baba,657.4160034179688,"$10,000",15500.414942584115,23.577787674769056,101.74885119269868,99.20629299388213,588.8895588589564,618.4764740982428,636.5274454157867,230,2020-12-22 00:00:00,2020-12-23 00:00:00
baba,666.4420043945313,"$10,000",16105.335432138028,24.166146980441116,84.74935805376833,86.76317964441637,614.7275855559928,639.5770009764,651.8088977634,234,2020-12-29 00:00:00,2020-12-30 00:00:00
baba,844.1139892578125,"$10,000",14649.975156415645,17.355446471508714,156.5680597641889,148.85220660041352,0,779.9744129671935,810.418312820364,247,2021-01-19 00:00:00,2021-01-20 00:00:00
