stock,sell_p,cash_start,cash_after,position,AO_start,AO_sell,jaw,teeth,lips,ind,date_buy,date_sell
tsla,54.873600006103516,"$10,000",10843.127785212255,197.6019029917153,5.39754107980167,4.831599796519562,49.93009600479919,52.43916443936267,53.915354806843744,34,2017-02-21 00:00:00,2017-02-22 00:00:00
tsla,53.719600677490234,"$10,000",10250.893096059546,190.82221324766678,0.4128530390122407,1.2994058945599747,51.78994179426633,52.008968838663755,52.106507242706016,59,2017-03-28 00:00:00,2017-03-29 00:00:00
tsla,57.43280029296875,"$10,000",11114.190252785262,193.51642608563392,3.8564063577090977,4.631547389310953,53.13807128460087,53.8662722256823,54.49856979483504,63,2017-04-03 00:00:00,2017-04-04 00:00:00
tsla,60.876399230957034,"$10,000",10323.492909047047,169.58120124485478,5.169176830964929,5.10180034637451,57.931914192120125,59.41885956270551,60.29623534753428,76,2017-04-21 00:00:00,2017-04-24 00:00:00
tsla,62.98360061645508,"$10,000",10328.70235020589,163.99034429777288,4.930446849149817,5.006046429802396,59.46804384873792,60.92193271050199,61.73295466210809,82,2017-05-01 00:00:00,2017-05-02 00:00:00
tsla,65.13199996948242,"$10,000",10422.654257662269,160.02355620195604,0.8873059553258571,1.9903413772583036,62.963782285705285,63.373159471132475,63.35911050387955,102,2017-05-30 00:00:00,2017-05-31 00:00:00
tsla,70.78679962158203,"$10,000",11222.675356007188,158.5419232964663,5.406129623861865,6.04412951749913,65.35953803760714,66.54601259744244,67.503709623304,108,2017-06-07 00:00:00,2017-06-08 00:00:00
tsla,73.7176010131836,"$10,000",11934.516879018296,161.89507953309464,7.5955816493314785,8.090864136639752,67.3477751525298,69.10959588671274,70.51764553641235,112,2017-06-13 00:00:00,2017-06-14 00:00:00
tsla,72.11720123291016,"$10,000",10022.792796619524,138.97922583337433,4.496217750100527,4.513699408138507,68.88094296314715,69.54327487417027,70.4096231710169,155,2017-08-14 00:00:00,2017-08-15 00:00:00
tsla,74.8572006225586,"$10,000",10125.25150897127,135.2608890629551,2.8662818908691463,3.6297645344453713,71.04599344030672,71.67598052751799,72.1387501809407,178,2017-09-15 00:00:00,2017-09-18 00:00:00
tsla,72.23280029296875,"$10,000",11095.668247767857,153.60983102918587,4.04800123326919,4.496217750100527,68.69854973891285,69.22502119277732,69.99786880752113,154,2017-08-11 00:00:00,2017-08-14 00:00:00
tsla,74.00480041503906,"$10,000",10294.515501560454,139.10605047005072,1.8909113042494852,2.8662818908691463,70.89266470019669,71.32322064276855,71.55243774143466,177,2017-09-14 00:00:00,2017-09-15 00:00:00
tsla,72.46279907226562,"$10,000",10278.527787630572,141.84558034226654,3.1086227865780103,1.8047640183392701,71.45024350822243,72.4232921659587,73.32464788595081,183,2017-09-22 00:00:00,2017-09-25 00:00:00
tsla,69.37799987792968,"$10,000",9929.469692946104,143.12130229203734,2.0506764243630897,1.9471475376802374,67.23259005851281,67.58945740905105,68.08883418179396,291,2018-02-28 00:00:00,2018-03-01 00:00:00
